1900221,2-6-2003 04:37:00,-35.88,24.07,53,"INACTIVE","OTHERS"
1900222,2-6-2003 22:30:00,-34.53,29.96,62,"INACTIVE","OTHERS"
1900223,4-6-2003 19:37:00,-27.96,37.19,169,"INACTIVE","OTHERS"
1900224,18-1-2004 22:11:00,-28.91,42.56,80,"INACTIVE","France"
1900225,15-8-2003 02:04:00,-0.06,53.89,97,"INACTIVE","OTHERS"
1900226,14-8-2003 22:01:00,0.12,54.47,240,"INACTIVE","OTHERS"
1900227,15-8-2003 17:53:00,-3.80,54.78,134,"INACTIVE","OTHERS"
1900228,17-8-2003 08:47:00,23.61,58.56,1,"INACTIVE","OTHERS"
1900230,15-8-2003 10:45:00,-2.33,55.44,129,"INACTIVE","OTHERS"
1900266,1-9-2004 12:56:58,-24.70,77.44,215,"INACTIVE","OTHERS"
1900267,1-9-2004 23:12:32,-23.44,73.70,154,"INACTIVE","OTHERS"
1900268,26-11-2004 15:06:30,-14.93,59.98,298,"INACTIVE","OTHERS"
1900269,26-11-2004 12:17:35,-14.90,62.89,180,"INACTIVE","OTHERS"
1900270,26-11-2004 13:26:12,-14.90,69.53,316,"INACTIVE","OTHERS"
1900271,26-11-2004 13:27:31,-15.05,71.23,2,"INACTIVE","OTHERS"
1900272,27-11-2004 10:18:57,-14.90,74.88,316,"INACTIVE","OTHERS"
1900273,27-11-2004 10:20:41,-15.12,77.43,267,"INACTIVE","OTHERS"
1900274,26-11-2004 13:25:47,-15.03,66.42,37,"INACTIVE","OTHERS"
1900288,14-4-2004 09:16:52,-15.67,41.48,1,"INACTIVE","OTHERS"
1900305,4-1-2004 15:13:44,-20.49,59.56,109,"INACTIVE","Japan"
1900306,7-1-2004 07:41:07,-20.18,62.75,64,"INACTIVE","Japan"
1900307,8-1-2004 09:43:13,-19.62,66.15,44,"INACTIVE","Japan"
1900308,9-1-2004 08:39:52,-20.09,68.82,90,"INACTIVE","Japan"
1900309,11-1-2004 11:22:15,-19.74,71.89,144,"INACTIVE","Japan"
1900310,12-1-2004 20:45:37,-19.91,75.02,108,"INACTIVE","Japan"
1900311,13-1-2004 22:41:19,-20.00,77.49,112,"INACTIVE","Japan"
1900312,20-1-2004 22:00:00,-35.52,44.70,113,"INACTIVE","France"
1900313,21-1-2004 21:42:00,-38.42,44.57,41,"INACTIVE","France"
1900314,28-1-2004 23:11:00,-56.44,63.05,65,"INACTIVE","France"
1900315,7-2-2004 22:54:00,-38.33,64.14,47,"INACTIVE","France"
1900316,5-2-2004 23:06:00,-35.00,62.34,70,"INACTIVE","France"
1900317,5-2-2004 23:06:00,-35.00,62.34,84,"INACTIVE","France"
1900318,7-2-2004 13:49:00,-28.98,59.40,91,"INACTIVE","France"
1900319,7-2-2004 13:36:00,-28.98,59.40,55,"INACTIVE","France"
1900320,8-2-2004 09:54:00,-25.97,57.49,90,"INACTIVE","France"
1900321,10-4-2004 08:43:00,-35.03,73.23,95,"INACTIVE","France"
1900322,10-4-2004 08:42:00,-35.58,73.22,109,"INACTIVE","France"
1900323,11-4-2004 14:54:00,-29.91,65.82,59,"INACTIVE","France"
1900324,11-4-2004 15:07:00,-29.90,65.91,35,"INACTIVE","France"
1900325,13-4-2004 04:42:00,-24.49,59.11,66,"INACTIVE","France"
1900333,12-9-2005 00:23:00,-44.52,20.08,68,"INACTIVE","France"
1900334,8-6-2006 00:27:00,-38.46,20.27,7,"INACTIVE","France"
1900335,16-2-2005 02:14:00,-47.59,20.29,53,"INACTIVE","France"
1900336,20-10-2004 00:05:00,-45.63,20.22,67,"INACTIVE","France"
1900338,10-5-2005 00:08:00,-51.52,20.90,15,"INACTIVE","France"
1900340,27-3-2005 02:17:00,-45.70,20.64,22,"INACTIVE","France"
1900341,24-12-2004 12:14:00,-42.55,22.49,78,"INACTIVE","France"
1900342,25-9-2004 10:42:00,-41.78,20.41,131,"INACTIVE","France"
1900343,24-4-2004 14:38:25,-48.58,32.25,103,"INACTIVE","OTHERS"
1900344,4-5-2004 05:00:38,-49.50,34.05,173,"INACTIVE","OTHERS"
